utcTimeMillis,x,y,z,v_x,v_y,v_z
1626727759438.0,-2704226.524876764,-4288791.772514885,3856647.0573086757,0.0025362524552733383,0.0017347953196670115,-0.08575586773133435
1626727760438.0,-2704230.3862655996,-4288800.5485275565,3856645.0216719233,-0.027446883548487344,-0.013790306071784764,0.08395879320168138
1626727761438.0,-2704235.0748038497,-4288805.2353193555,3856648.6592280967,-0.00967033352391837,0.00261768146699266,-0.046634584541017404
1626727762438.0,-2704234.944368614,-4288804.300764038,3856646.8261748897,-0.007348203717561244,0.0239579673564153,-0.09886419403835749
1626727763438.0,-2704235.889142045,-4288807.066485406,3856649.2395278052,-0.03860895741169188,-0.04652904312881988,0.001031304504859736
1626727764438.0,-2704229.7769568553,-4288798.67776689,3856649.137340664,0.006753164518229532,-0.002898415528426476,0.0017318167105410964
1626727765438.0,-2704228.6639255215,-4288797.520018987,3856643.299904112,-0.10523469336603122,-0.022807019659197528,0.03388476713742798
1626727766438.0,-2704227.1227869825,-4288797.877093375,3856631.6531324354,-0.6581796692993834,-0.375842995441859,0.684275039511663
1626727767438.0,-2704230.0487858104,-4288799.8602284305,3856642.9556010407,-0.9559800665254937,-0.7182973614498556,1.4131393704140327
1626727768438.0,-2704244.078028221,-4288803.997728609,3856650.7438809206,-1.5143189207964443,-1.0792023558120236,1.1992373524961064
1626727769438.0,-2704243.63650035,-4288806.014908862,3856644.77319323,-0.27655245385339217,-0.22087754838441218,-0.16640311144690495
1626727770438.0,-2704236.4559981693,-4288803.7418686235,3856632.933073201,-0.024010822539573463,-0.046165290220957216,0.06290137824711318
1626727771438.0,-2704238.984467331,-4288807.652897615,3856640.948980709,-0.057168549686365866,0.26032542357411736,0.18256805231482523
1626727772438.0,-2704242.5982057634,-4288808.881206724,3856647.728617232,-0.7377167921015463,0.6686111639782847,0.25833619291074567
1626727773438.0,-2704240.449121522,-4288803.295039008,3856643.536885423,-1.6348281180213515,1.3840934341978925,1.0837543666990102
1626727774438.0,-2704248.2443819456,-4288807.411261959,3856647.312225718,-2.7976064311842763,1.7423261711643485,-0.192541527763047
