utcTimeMillis,x,y,z,v_x,v_y,v_z
1593045251447,-2692779.882869283,-4297235.477795485,3855229.658621119,0.07730778911625075,-0.013160062526766145,0.003974791841508636
1593045252447,-2692781.7329089516,-4297235.8542909585,3855230.824326887,0.13149074446164677,-0.14443984751149436,0.023088355165527652
1593045253447,-2692780.964100922,-4297235.212312998,3855230.4100352433,0.005096889852112396,-0.07389421190304853,-0.00296856698148882
1593045254447,-2692782.316510876,-4297236.262954927,3855230.7262973185,-0.13593402072131625,0.03731457250446988,-0.43067841687709174
1593045255447,-2692781.6631559366,-4297236.004550628,3855230.371597163,-1.6252724465901298,-0.12285396304598598,-0.5575665409781404
1593045256447,-2692781.519633229,-4297234.5161027275,3855228.4950168035,-1.9534559333895114,0.6098616061865563,-0.8434571433882245
1593045257447,-2692785.6077557937,-4297234.267317271,3855228.151549993,-2.7550335314463634,1.7806580182339098,0.10897324594560309
1593045258447,-2692787.3456280525,-4297230.54863777,3855226.4734350145,-2.3180012077233116,3.0454365662161424,1.560844771106548
1593045259447,-2692787.644885396,-4297226.066948549,3855227.058111523,-2.8323636861770067,4.432270447269006,2.73959883591688
1593045260447,-2692790.522250185,-4297220.842982846,3855230.1925954567,-4.601571974824472,5.706379892888396,2.9652214245391884
1593045261447,-2692796.2582259667,-4297215.547404731,3855231.969525159,-6.5894006995546315,6.0569665186184025,1.9073423476485014
1593045262447,-2692804.337925652,-4297210.0199201,3855233.6544784456,-8.450371726757291,5.974080522867719,0.7797722943410337
1593045263447,-2692815.6374882073,-4297204.920164048,3855234.971306187,-9.806824248876897,5.923804355250884,0.2097438119495256
1593045264447,-2692827.6843393324,-4297199.667230795,3855236.7108198307,-10.646632318902746,6.3298464243519765,-0.21017929820640335
1593045265447,-2692836.116062502,-4297191.853512191,3855234.1290310062,-11.45564763802577,6.820135233592912,-0.0610680796874501
1593045266447,-2692847.2720376863,-4297184.791315697,3855235.3617762276,-12.135059650812954,7.455153653497661,-0.07005139959337728
1593045267447,-2692861.8620990277,-4297178.265985069,3855236.5869805845,-12.680258779882891,7.936725802193102,-0.05594339342335116
1593045268447,-2692874.9611174357,-4297170.887580107,3855237.4054383887,-12.562387411897374,8.0273399182808,-0.15437363570111032
