utcTimeMillis,x,y,z,vx,vy,vz
1593045251447.0,-2470070.5030659256,-3941827.5595635413,3536378.4241460403,-200638.3706269867,-320186.98222053505,287252.86204521527
1593045252447.0,-2647437.8724909765,-4224875.819586538,3790313.200857794,-124679.03495324057,-198971.81185969937,178504.67688017403
1593045253447.0,-2706515.151307435,-4319154.675303946,3874894.5215952336,-77850.80448506388,-124245.80451738251,111463.76094988552
1593045254447.0,-2724109.5533587798,-4347234.348325351,3900085.0753057366,-46942.1357799666,-74924.2166058479,67214.18787772156
1593045255447.0,-2724581.8058557804,-4347991.191506104,3900762.1623334014,-26647.093005241433,-42540.626560209,38160.83662111262
1593045256447.0,-2718519.0073110545,-4338318.590358651,3892083.8645038824,-13708.409654191728,-21894.598177477732,19638.546129521746
1593045257447.0,-2710980.54882728,-4326286.838806426,3881289.761780047,-5934.2573536958735,-9487.208900714006,8509.121576152598
1593045258447.0,-2704298.595781642,-4315619.427187321,3871721.592971099,-1676.76110605731,-2691.4700920860705,2414.9732041109246
1593045259447.0,-2699292.090984234,-4307624.616829245,3864553.550886993,343.1752300592875,532.8335037356042,-474.88849226123693
1593045260447.0,-2695973.217358898,-4302320.187279229,3859801.816566745,1067.730382794116,1689.5320258959523,-1512.1167800209585
1593045261447.0,-2694007.6956094895,-4299171.65556373,3856983.6639359104,1131.8009617355106,1793.9904045030128,-1607.5449041611491
1593045262447.0,-2692985.333620798,-4297523.719708673,3855510.8528980943,922.3273959475413,1463.214978293105,-1313.1568336598853
1593045263447.0,-2692549.83132944,-4296807.344542066,3854873.006861714,648.6048482775296,1030.4555665123653,-926.1622590308214
1593045264447.0,-2692438.412886418,-4296604.821648733,3854696.529386136,406.43428332552674,647.6866658479773,-583.0824786293495
1593045265447.0,-2692478.39945042,-4296643.912195842,3854736.4249668214,227.50776464081412,364.9219517950325,-329.20141568622086
1593045266447.0,-2692572.672191915,-4296768.302928134,3854854.5725850905,110.54580186065392,180.36316164168846,-161.7747374314003
1593045267447.0,-2692672.7295793155,-4296899.000480583,3854979.330082422,41.273023299499684,72.62062695074341,-64.12428150146617
1593045268447.0,-2692756.711243207,-4297003.058291281,3855080.6219630665,5.1606269634745345,18.308556950176175,-14.231020161728587
1593045269447.0,-2692818.5776429046,-4297071.915514423,3855150.1949896673,-10.274508326138534,-3.666239046829933,5.729317646494923
1593045270447.0,-2692861.9051289777,-4297111.196302453,3855192.9451291943,-13.876218119403484,-8.615690831804931,10.972676814148624
1593045271447.0,-2692894.1950305696,-4297129.635555655,3855217.8693489777,-13.57409914275299,-5.661299193802606,8.799744478102324
1593045272447.0,-2692917.195981519,-4297133.768385353,3855229.936875853,-10.948260563613758,0.13351755584369007,4.606312551483442
1593045273447.0,-2692934.583573877,-4297128.610294533,3855235.1023635087,-8.067480640116784,6.117324190513617,0.9286561952401141
1593045274447.0,-2692950.0289574713,-4297119.020050419,3855236.041008697,-6.373979720706586,10.961081905282834,-3.1299513920059314
1593045275447.0,-2692964.6363653913,-4297107.176735315,3855234.920864661,-5.224471738996667,14.738313161759875,-5.574868506688338
