utcTimeMillis,Latitude,Longitude,Altitude
1593045251447.0,37.45266356677122,-122.07252286290606,-738102.6705089418
1593045252447.0,37.42724565473163,-122.0725321478005,36159.10180666377
1593045253447.0,37.394975770356545,-122.07253320744834,1391570.4122416798
1593045254447.0,37.366072773937475,-122.07253560198966,3207418.2506893016
1593045255447.0,37.34524589005447,-122.07253583737806,5150812.447351648
1593045256447.0,37.331755968158085,-122.07253848619348,6895010.554725644
1593045257447.0,37.32355560267688,-122.0725482370563,8239695.585716103
1593045258447.0,37.31885226206066,-122.07255950888046,9142057.286350716
1593045259447.0,37.31635276737819,-122.07257050463618,9669967.481368909
1593045260447.0,37.31517709536435,-122.07258983554158,9933117.407371752
1593045261447.0,37.31474110317671,-122.07262195215947,10034528.885489147
1593045262447.0,37.3146786896922,-122.07266603304339,10050596.665471995
1593045263447.0,37.31477298792871,-122.07272079335395,10029770.631781688
1593045264447.0,37.31490965166602,-122.07278065518652,9998853.75764726
1593045265447.0,37.31503355736747,-122.0728382490292,9970438.890895644
1593045266447.0,37.31512897972034,-122.07289701682566,9948927.832071096
1593045267447.0,37.31519181095205,-122.07296208403132,9934603.214848397
1593045268447.0,37.315229003464,-122.0730292472823,9926079.139640763
1593045269447.0,37.31524771738124,-122.07309529409038,9921603.95559943
1593045270447.0,37.31525450510985,-122.07316173958209,9919650.741619937
1593045271447.0,37.31525581232791,-122.07323686123355,9919097.403592529
1593045272447.0,37.31525477554737,-122.07331085100203,9919208.282187296
1593045273447.0,37.315256131541965,-122.07338591207456,9919556.821309464
1593045274447.0,37.31525608165953,-122.07346395938319,9919926.478383385
1593045275447.0,37.31525569960983,-122.07354398774059,9920227.275334254
1593045276447.0,37.31525537926499,-122.07362321903085,9920438.27352712
1593045277447.0,37.31525437625388,-122.07370420022394,9920570.972352803
1593045278447.0,37.3152533559527,-122.0737842779061,9920644.614169076
1593045279447.0,37.315252128125096,-122.07385923288419,9920678.72643035
1593045280447.0,37.31525216372871,-122.07393774002544,9920691.700030273
1593045281447.0,37.31524890672687,-122.07401814804876,9920693.322722394
1593045282447.0,37.315242181430555,-122.07409568072408,9920689.964406224
1593045283447.0,37.315232131384995,-122.07417381577424,9920685.291550346
1593045284447.0,37.31521702939547,-122.07424899862102,9920681.07241061
1593045285447.0,37.31519870520847,-122.07431997736376,9920677.883436775
1593045286447.0,37.31518155352345,-122.07438575632227,9920675.531303082
1593045287447.0,37.3151638380425,-122.0744481758013,9920673.963804314
1593045288447.0,37.31515077999128,-122.07450553839604,9920672.9253632
1593045289447.0,37.31514508714811,-122.0745514072284,9920672.030485693
1593045290447.0,37.31514180989727,-122.07459550839194,9920672.980990503
1593045291447.0,37.31513743001102,-122.07462752858848,9920674.365908008
1593045292447.0,37.315134997948135,-122.07464727429523,9920673.562786963
1593045293447.0,37.31513564582081,-122.07467619760153,9920673.111336345
1593045294447.0,37.31513412846585,-122.07470275116867,9920673.206417467
1593045295447.0,37.31512215815543,-122.0747315529025,9920674.181884062
1593045296447.0,37.31509994887052,-122.0747510342575,9920673.460351197
1593045297447.0,37.315071629436396,-122.07476308313389,9920673.980967663
1593045298447.0,37.315034556399574,-122.07476831586769,9920673.310426394
1593045299447.0,37.3149913829795,-122.07476362438311,9920672.690275647
1593045300447.0,37.31494458726042,-122.07475803379837,9920672.182926787
1593045301447.0,37.314891511581116,-122.07474418615405,9920671.725832684
1593045302447.0,37.31483630603308,-122.07473398318581,9920672.46510881
1593045303447.0,37.31477916798576,-122.07472039605936,9920670.647367384
1593045304447.0,37.314719700605956,-122.07470235159597,9920668.840175683
1593045305447.0,37.31465835621317,-122.07469573149581,9920670.078079037
1593045306447.0,37.314593944242986,-122.07469044927852,9920670.879756529
1593045307447.0,37.31452808565396,-122.0746874933139,9920670.509269102
1593045308447.0,37.31446183820549,-122.07469342315346,9920672.29187943
1593045309447.0,37.3143951531565,-122.0746951386272,9920673.454825452
1593045310447.0,37.31432664152621,-122.07469469536882,9920673.150370797
1593045311447.0,37.314258857982324,-122.0746995683958,9920674.464166062
1593045312447.0,37.314190166841186,-122.07470720008052,9920674.797943233
1593045313447.0,37.3141251820714,-122.0747098707683,9920673.066613633
1593045314447.0,37.314063546907164,-122.07471490548474,9920672.932393422
1593045315447.0,37.31400944795172,-122.07471869871422,9920672.504309151
1593045316447.0,37.31396559167317,-122.07472041349934,9920672.076836927
1593045317447.0,37.31393291167605,-122.0747223502334,9920672.739100955
1593045318447.0,37.31391174396384,-122.07472572299926,9920675.34196467
1593045319447.0,37.31389815078533,-122.07472331358935,9920675.078111013
1593045320447.0,37.31389207928469,-122.07472388773255,9920674.029189952
1593045321447.0,37.31389278234196,-122.07471882910396,9920672.869116645
1593045322447.0,37.31389591876612,-122.07471594431142,9920674.051643612
1593045323447.0,37.313897062970376,-122.07471257335617,9920672.655124264
1593045324447.0,37.31390001314498,-122.07471483520794,9920673.576790234
1593045325447.0,37.31390294225554,-122.07471194001941,9920671.601486862
1593045326447.0,37.31390736439647,-122.07470847866516,9920670.785585057
1593045327447.0,37.313908157207926,-122.07470894913526,9920669.697979467
1593045328447.0,37.313912780886405,-122.07471170255312,9920671.492601993
1593045329447.0,37.31391714122556,-122.07471773294017,9920671.79716339
1593045330447.0,37.313915595360704,-122.07471878248889,9920672.492505714
1593045331447.0,37.31391615071928,-122.07471757749923,9920671.666775132
1593045332447.0,37.31391823744854,-122.07471615211259,9920672.186807578
1593045333447.0,37.31391099016114,-122.07471545399844,9920672.056250578
1593045334447.0,37.31390360486205,-122.0747165041994,9920672.599127194
1593045335447.0,37.3138942321714,-122.07471472999023,9920672.677260913
1593045336447.0,37.31387910665834,-122.07471636159404,9920672.498891743
1593045337447.0,37.31385484270409,-122.07471826988026,9920672.525409428
1593045338447.0,37.31382079274976,-122.0747198509231,9920674.510746134
1593045339447.0,37.31378002084419,-122.07471578598937,9920674.318295073
1593045340447.0,37.31373328937818,-122.07471218611056,9920673.551120674
1593045341447.0,37.313681904312375,-122.07470856688312,9920673.086918356
1593045342447.0,37.31362949251411,-122.07470604479205,9920673.383135863
1593045343447.0,37.31357758201848,-122.07470432135013,9920673.969429087
1593045344447.0,37.31352747816701,-122.07470660698348,9920676.010843668
1593045345447.0,37.31347864616919,-122.07470310404736,9920676.476073075
1593045346447.0,37.31343164811175,-122.0746975448073,9920676.048587484
1593045347447.0,37.31339060216216,-122.07469207159512,9920674.683370955
1593045348447.0,37.31335480349084,-122.07468946959692,9920674.336418815
1593045349447.0,37.31332755259359,-122.0746917226514,9920672.117711835
1593045350447.0,37.313311023309396,-122.07470608537868,9920672.753908856
1593045351447.0,37.3132990715314,-122.07472331188792,9920672.552880786
1593045352447.0,37.313297806901474,-122.07476221360773,9920673.599652689
1593045353447.0,37.31329888136996,-122.0748078356121,9920672.555235371
1593045354447.0,37.31330196883464,-122.07486850152944,9920672.839096978
1593045355447.0,37.3133048902491,-122.07493313776489,9920672.423145985
1593045356447.0,37.31330673891695,-122.07500948270854,9920672.86056132
1593045357447.0,37.313306787153365,-122.07508691203631,9920672.973053116
1593045358447.0,37.313304644214845,-122.07516807730833,9920674.112444773
1593045359447.0,37.31329725928997,-122.07524945289074,9920673.911984505
1593045360447.0,37.313290062966935,-122.07533218779224,9920673.175700102
1593045361447.0,37.31328284136189,-122.07541526225543,9920673.409020841
1593045362447.0,37.31327575415979,-122.07550188423923,9920674.867964175
1593045363447.0,37.31326770723917,-122.07558320929165,9920674.84736565
1593045364447.0,37.3132592257426,-122.07566758387952,9920676.01673932
1593045365447.0,37.31325016252418,-122.07574671665346,9920676.411477437
1593045366447.0,37.313242133354386,-122.07582350548117,9920676.73379477
1593045367447.0,37.313237095298184,-122.0758996244787,9920677.244206667
1593045368447.0,37.31323058554598,-122.07597391543625,9920677.360656308
1593045369447.0,37.31322313434395,-122.07604672670568,9920676.696616057
1593045370447.0,37.31321714904446,-122.07611952831918,9920677.154496018
1593045371447.0,37.31321152420435,-122.07618405766169,9920675.127719972
1593045372447.0,37.313205370212955,-122.07625112476796,9920674.987812355
1593045373447.0,37.313199132599145,-122.07631860201906,9920673.986823604
1593045374447.0,37.3131947818851,-122.0763860353496,9920673.863735365
1593045375447.0,37.313187680359626,-122.07645343589256,9920674.248934494
1593045376447.0,37.31318142140931,-122.07651493825543,9920672.680120777
1593045377447.0,37.31317916034439,-122.07658320795488,9920674.063106468
1593045378447.0,37.31317868475014,-122.07664604363877,9920673.670425365
1593045379447.0,37.31317803266396,-122.07670848228643,9920672.868440058
1593045380447.0,37.313177246455915,-122.0767726908206,9920673.700389318
1593045381447.0,37.31318172278824,-122.07683661617286,9920672.160151545
1593045382447.0,37.31318507909615,-122.07690490501237,9920672.250729708
1593045383447.0,37.31318854288613,-122.07697589714864,9920673.321362877
1593045384447.0,37.31319244285977,-122.07705026361401,9920674.229183558
1593045385447.0,37.31319872137414,-122.07712871068487,9920674.897235792
1593045386447.0,37.313206084061754,-122.07720861388954,9920673.828735422
1593045387447.0,37.313214590035045,-122.07729101672787,9920673.439800251
1593045388447.0,37.31322618456927,-122.07737418898857,9920672.436784677
1593045389447.0,37.313236816869264,-122.07745612431175,9920673.619467776
1593045390447.0,37.31325008753994,-122.07753971276182,9920675.162112279
1593045391447.0,37.31326059940732,-122.07761946538528,9920675.780771555
1593045392447.0,37.31327350412027,-122.07769921531063,9920677.28800403
1593045393447.0,37.31328539368042,-122.07777471544892,9920677.30916635
1593045394447.0,37.3132997428181,-122.0778471482267,9920676.900423467
1593045395447.0,37.31331757113808,-122.07792600546979,9920678.156086711
1593045396447.0,37.31333398922055,-122.0780062530969,9920679.849134102
1593045397447.0,37.313351272574494,-122.07807917466612,9920678.376402646
1593045398447.0,37.313364549446234,-122.07814987692511,9920674.714740822
1593045399447.0,37.31338218244126,-122.0782247024025,9920674.19295348
1593045400447.0,37.313399562041674,-122.07830101366243,9920673.855723964
1593045401447.0,37.31341624732224,-122.07838165854349,9920672.799653849
1593045402447.0,37.31343264276268,-122.07846471771035,9920671.22391197
1593045403447.0,37.31345019480741,-122.07854926469663,9920670.263624925
1593045404447.0,37.31346668039366,-122.078633052364,9920669.423426425
1593045405447.0,37.31348355553497,-122.07871814281918,9920670.072211104
1593045406447.0,37.31349854536437,-122.07880289605353,9920672.230235398
1593045407447.0,37.313511886376084,-122.07888201251426,9920671.610244848
1593045408447.0,37.31352013033736,-122.07895607924098,9920673.742717162
1593045409447.0,37.31352886207233,-122.07902772950429,9920672.98921731
1593045410447.0,37.31353098279321,-122.07909324078055,9920672.32706032
1593045411447.0,37.313529163098444,-122.07915207636754,9920671.508993508
1593045412447.0,37.31352622551221,-122.07920386180294,9920670.81367671
1593045413447.0,37.31352142549905,-122.07925230547424,9920670.872366514
1593045414447.0,37.31351667233659,-122.07929567629239,9920672.160738599
1593045415447.0,37.31350827837911,-122.0793292236187,9920673.316374518
1593045416447.0,37.31350394068632,-122.07935646768671,9920672.431121757
1593045417447.0,37.31350974225835,-122.07937621400094,9920672.427472604
1593045418447.0,37.31352589612476,-122.07939698328506,9920674.190641338
1593045419447.0,37.31355242865821,-122.0794128636661,9920676.144117653
1593045420447.0,37.31358171705521,-122.07943294170074,9920675.966230474
1593045421447.0,37.31361598236177,-122.07946241137417,9920678.100293836
1593045422447.0,37.313650709128396,-122.07949700563371,9920676.71152605
1593045423447.0,37.313686170960246,-122.07953207160269,9920673.281926868
1593045424447.0,37.31372133807811,-122.07957856870496,9920672.248573488
1593045425447.0,37.31375364980111,-122.07962823549177,9920673.506217789
1593045426447.0,37.31377807281191,-122.0796793822816,9920670.878738148
1593045427447.0,37.3137989582961,-122.07973580046118,9920671.12063027
1593045428447.0,37.31381632824705,-122.0797957854385,9920671.662277915
1593045429447.0,37.31383175485078,-122.07986115191683,9920671.854526361
1593045430447.0,37.313843123888674,-122.0799273195255,9920673.12838841
1593045431447.0,37.313851714085125,-122.07998729292281,9920672.38177378
1593045432447.0,37.31385900446713,-122.08004022978092,9920670.573027942
1593045433447.0,37.31387323407528,-122.08009693605713,9920670.36841127
1593045434447.0,37.31388856031142,-122.08015567505427,9920669.909973323
