utcTimeMillis,x,y,z,vx,vy,vz
1593045251447.0,-2470070.274277015,-3941827.7586867427,3536378.248330833,-200639.1983803755,-320186.261797205,287253.498141055
1593045252447.0,-2647438.0525487056,-4224875.663419912,3790313.308526232,-124682.7230248537,-198968.2359744337,178507.10808707835
1593045253447.0,-2706516.488356913,-4319153.319769206,3874895.4098737277,-77856.88354770701,-124239.54366403887,111467.09256287634
1593045254447.0,-2724112.6063657105,-4347231.228441554,3900086.7082270295,-46949.9217410062,-74915.82668175429,67217.48714255042
1593045255447.0,-2724586.524706265,-4347985.602296329,3900764.4534089565,-26656.749791730857,-42530.55332115169,38162.033613084626
1593045256447.0,-2718525.6818427304,-4338311.492857242,3892085.2558590095,-13718.684821181021,-21884.32095038388,19637.678405106293
1593045257447.0,-2710988.266445706,-4326278.982117028,3881289.767055036,-5943.566245580334,-9478.560755584163,8506.212127668408
1593045258447.0,-2704306.7166775395,-4315611.994762376,3871719.959414384,-1685.0567033112966,-2684.9343120708345,2409.8288736441955
1593045259447.0,-2699300.011451625,-4307618.11254487,3864550.0310658272,335.06029313027875,537.4914207460461,-482.6492342828724
1593045260447.0,-2695981.266183275,-4302314.689513206,3859796.2565298034,1058.0929538021708,1694.2413541746187,-1521.3174641504638
1593045261447.0,-2694016.4424543134,-4299166.531326629,3856976.7999960207,1120.7800091263,1799.4951694506883,-1616.1221958438625
1593045262447.0,-2692994.9464171724,-4297518.503267804,3855503.658377537,910.5443829707709,1469.1830517503938,-1320.5029672202884
1593045263447.0,-2692560.0738821602,-4296802.093025191,3854866.0673250165,637.0165956756928,1035.604042836579,-932.8975048974055
1593045264447.0,-2692448.82120816,-4296600.035131283,3854689.9168910473,395.5326258428438,651.3330016376763,-589.625249437494
1593045265447.0,-2692488.5545523055,-4296640.052212566,3854730.0484459796,217.47625313471133,366.8087328802258,-335.70865578681787
1593045266447.0,-2692582.4302565306,-4296765.803228323,3854848.1746950895,100.73795871900774,180.03110587885905,-169.1819796772432
1593045267447.0,-2692682.2199073825,-4296897.943370685,3854972.6626102277,31.449896059353577,71.54180674083864,-71.643024935716
1593045268447.0,-2692766.012500725,-4297002.974215509,3855073.856505281,-4.371397002733296,17.198582073769423,-21.31290238410378
1593045269447.0,-2692827.6491005034,-4297072.402403886,3855143.6067406912,-19.503946386459436,-5.039139706021231,-0.6951990647935489
1593045270447.0,-2692870.8755780524,-4297112.159007327,3855186.539831748,-23.692234294614927,-10.582419244999326,4.045207756181965
1593045271447.0,-2692903.2921973495,-4297131.047929365,3855211.4674416617,-23.53424572062111,-7.851954323613257,2.10463022691032
1593045272447.0,-2692926.4794194475,-4297135.647791665,3855223.529482809,-21.37748759069689,-3.0332829853725625,-2.486835657958064
1593045273447.0,-2692944.1510610655,-4297131.090840794,3855228.4890953396,-18.8472953889004,2.407980733899982,-6.730211133974192
1593045274447.0,-2692959.87844486,-4297122.070981194,3855229.2097419947,-17.371519659591257,6.63399082053542,-10.54620318165253
1593045275447.0,-2692974.760200497,-4297110.732972366,3855228.019684127,-16.608090758452395,10.192563209103126,-13.09809119544379
1593045276447.0,-2692989.0647607627,-4297098.746614382,3855226.300005839,-16.324308061376826,12.470669078444246,-14.760287861219659
1593045277447.0,-2693004.261056398,-4297087.308684961,3855225.0943235713,-16.416180890199623,14.007951118254383,-15.47499346970677
1593045278447.0,-2693019.3460431355,-4297076.134586511,3855224.0531167774,-16.71329884446323,14.298278239768269,-15.875826659072281
1593045279447.0,-2693033.2260586084,-4297065.485415398,3855222.544388618,-16.591152602088638,14.799490750943042,-16.037893480881174
1593045280447.0,-2693048.3942339276,-4297055.455430576,3855222.475341596,-17.15844126951129,14.509763126604355,-15.851631825819032
1593045281447.0,-2693064.4507461577,-4297046.061137825,3855221.942464924,-18.50628974255153,14.567521540761145,-15.72262070559718
1593045282447.0,-2693080.362369484,-4297037.827857588,3855220.593316973,-19.957453172914427,13.36042131134212,-16.09028352792688
1593045283447.0,-2693096.6463441597,-4297030.483246062,3855218.422338529,-20.847608438014618,11.673669063303775,-16.911904374505088
1593045284447.0,-2693112.7613221803,-4297024.263226512,3855215.001339611,-21.023305638177852,10.863934618207681,-17.660313581012506
1593045285447.0,-2693128.214471787,-4297018.479313545,3855210.82286263,-20.387572483787157,11.016023608409473,-18.29306651325217
1593045286447.0,-2693142.376016057,-4297012.477501187,3855206.8677795245,-19.316312427192038,10.914545947913759,-18.56191857021088
1593045287447.0,-2693155.7759878547,-4297006.659627693,3855202.8332373966,-17.45162724854867,11.111577746053715,-18.581639140784205
1593045288447.0,-2693167.6353409556,-4297000.413472618,3855199.888647938,-15.462428143288811,12.070259397902902,-18.039795958388098
1593045289447.0,-2693176.467680841,-4296994.0870268475,3855198.5511831287,-13.542047865789439,12.702767450223025,-17.064531185712838
1593045290447.0,-2693185.4569968064,-4296988.644856268,3855199.0215542675,-12.434462525313325,13.670353389508326,-15.385928806319182
