,MessageType,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,ArrivalTimeNanosSinceGpsEpoch,RawPseudorangeMeters,RawPseudorangeUncertaintyMeters,SignalType,ReceivedSvTimeNanosSinceGpsEpoch,SvPositionXEcefMeters,SvPositionYEcefMeters,SvPositionZEcefMeters,SvElevationDegrees,SvAzimuthDegrees,SvVelocityXEcefMetersPerSecond,SvVelocityYEcefMetersPerSecond,SvVelocityZEcefMetersPerSecond,SvClockBiasMeters,SvClockDriftMetersPerSecond,IsrbMeters,IonosphericDelayMeters,TroposphericDelayMeters,WlsPositionXEcefMeters,WlsPositionYEcefMeters,WlsPositionZEcefMeters,Constellation,SvName,UnixTime,Epoch,tTxSeconds
0,Raw,1593045252440,1047929361000000,18,,-1276032541079953176,0.0380287170410156,19.234470528317612,-23.2641166683645,11.553386176528962,403,10,0.0,16399,347670368542152,7,40.2,-381.5530395507813,0.0164000000804662,25,-61860.176744840646,0.0010085564157135,1575420000,,,,0,,1,,,,,,,,,1.277080470440953e+18,21708278.859864883,2.098547206,GPS_L1_CA,1.2770804703685422e+18,-22402644.585159868,-11771533.883185215,8541119.035578035,15.111300925830857,-156.37410273781452,1087.1194943690166,45.29614850091387,2920.9224450891406,-114233.03417283113,-0.003305998282713581,0.0,2.990604813616609,3.330762970094968,-2692782.888961565,-4297236.398702481,3855230.953569544,G,G10,2020-06-25 00:34:12.440000+00:00,0,347670.36854215205
1,Raw,1593045252440,1047929361000000,18,,-1276032541079953176,0.0380287170410156,19.234470528317612,-23.2641166683645,11.553386176528962,403,13,0.0,16399,347670360573483,35,25.5,410.6156921386719,0.7714999914169312,16,0.0,0.0,1575420000,,,,0,,1,,,,,,,,,1.277080470440953e+18,24097225.726363283,10.49273603,GPS_L1_CA,1.2770804703605734e+18,13603249.754158264,-8033463.256929664,21217893.241886068,49.284578662969984,-19.252440887536846,457.9436321290381,2683.290870291821,727.8714359412248,6339.733905694403,0.0009543087826401152,0.0,4.233219440804311,9.598289325279117,-2692782.888961565,-4297236.398702481,3855230.953569544,G,G13,2020-06-25 00:34:12.440000+00:00,0,347670.36057348305
2,Raw,1593045252440,1047929361000000,18,,-1276032541079953176,0.0380287170410156,19.234470528317612,-23.2641166683645,11.553386176528962,403,15,0.0,16399,347670367737558,8,39.4,260.4838256835937,0.0151000004261732,25,56417.98488356372,0.0011607913580907,1575420000,,,,0,,1,,,,,,,,,1.277080470440953e+18,21949490.07281693,2.3983396640000003,GPS_L1_CA,1.2770804703677376e+18,7424439.564917638,-17658222.264006566,17926099.07184121,41.55820290808286,-58.74312186977743,1089.3991443507791,2112.180612616805,1638.9683079890037,-66547.59196523673,0.0007838965000254878,0.0,3.1899189308398777,4.111997274080895,-2692782.888961565,-4297236.398702481,3855230.953569544,G,G15,2020-06-25 00:34:12.440000+00:00,0,347670.36773755803
3,Raw,1593045252440,1047929361000000,18,,-1276032541079953176,0.0380287170410156,19.234470528317612,-23.2641166683645,11.553386176528962,403,16,0.0,16399,347670363511034,9,38.6,135.8373260498047,0.0096000004559755,25,41532.163369538604,0.0013320557236479,1575420000,,,,0,,1,,,,,,,,,1.277080470440953e+18,23216570.091572925,2.6981321220000005,GPS_L1_CA,1.277080470363511e+18,-22797813.51517646,1698397.3160377648,13674572.446255691,27.558169770816892,168.19838818237707,-1601.0975664979717,-728.6024516590976,-2495.3239022571693,-52342.416716128406,-0.001397380717436348,0.0,4.307212014151982,5.539522123999427,-2692782.888961565,-4297236.398702481,3855230.953569544,G,G16,2020-06-25 00:34:12.440000+00:00,0,347670.363511034
4,Raw,1593045252440,1047929361000000,18,,-1276032541079953176,0.0380287170410156,19.234470528317612,-23.2641166683645,11.553386176528962,403,18,0.0,16399,347670371934131,9,39.0,123.4292984008789,0.0366000011563301,25,173620.30204083255,0.0013320557236479,1575420000,,,,0,,1,,,,,,,,,1.277080470440953e+18,20691389.1379705,2.6981321220000005,GPS_L1_CA,1.2770804703719342e+18,-2062220.9820306161,-17343705.007410247,19991412.48695824,50.206649954355775,-91.44368108961967,1897.6636404369206,-1692.6644515490566,-1274.4444343187074,68753.71829266069,0.003067421087069291,0.0,2.381497158702996,2.830937513847072,-2692782.888961565,-4297236.398702481,3855230.953569544,G,G18,2020-06-25 00:34:12.440000+00:00,0,347670.371934131
5,Raw,1593045252440,1047929361000000,18,,-1276032541079953176,0.0380287170410156,19.234470528317612,-23.2641166683645,11.553386176528962,403,20,0.0,16399,347670373704244,6,43.1,-58.12386322021485,0.0383000001311302,25,-444370.3037544828,0.0008372921387687,1575420000,,,,0,,1,,,,,,,,,1.277080470440953e+18,20160722.610762745,1.7987547480000003,GPS_L1_CA,1.2770804703737042e+18,-13622358.120463597,-14625530.763583288,17520000.797328725,41.85246605896412,-135.01611361207878,2247.877424023981,64.76988143335102,1771.4108656961232,158123.12382292698,-3.4082456522925504e-05,0.0,2.260663679703304,2.556258301106831,-2692782.888961565,-4297236.398702481,3855230.953569544,G,G20,2020-06-25 00:34:12.440000+00:00,0,347670.37370424403
6,Raw,1593045252440,1047929361000000,18,,-1276032541079953176,0.0380287170410156,19.234470528317612,-23.2641166683645,11.553386176528962,403,21,0.0,16399,347670369207197,7,41.0,-207.6154327392578,0.0329000018537044,25,-296854.2837950682,0.0010085564157135,1575420000,,,,0,,1,,,,,,,,,1.277080470440953e+18,21508903.38463427,2.098547206,GPS_L1_CA,1.2770804703692073e+18,-13218914.135902371,-8676694.601588208,22099591.174942616,56.66209225735354,-152.76974652888998,1684.7296708162585,-2019.824713840791,251.04345967168751,4721.051708171751,0.001397380717436348,0.0,2.466359387463838,2.9090756752817755,-2692782.888961565,-4297236.398702481,3855230.953569544,G,G21,2020-06-25 00:34:12.440000+00:00,0,347670.36920719704
7,Raw,1593045252440,1047929361000000,18,,-1276032541079953176,0.0380287170410156,19.234470528317612,-23.2641166683645,11.553386176528962,403,26,0.0,16399,347670362294949,8,39.2,428.2132873535156,0.0076000001281499,25,63961.81201747834,0.0011607913580907,1575420000,,,,0,,1,,,,,,,,,1.277080470440953e+18,23581143.202859856,2.3983396640000003,GPS_L1_CA,1.277080470362295e+18,-26239965.983538847,-4534477.6292548645,1659540.4347647827,-1.8351180096341997,-175.75560722232635,-143.18629803304987,-345.53749943334515,-3119.905751422084,69413.33652306195,0.00207902984789186,0.0,5.214193003788402,6.711868305676855,-2692782.888961565,-4297236.398702481,3855230.953569544,G,G26,2020-06-25 00:34:12.440000+00:00,0,347670.362294949
8,Raw,1593045252440,1047929361000000,18,,-1276032541079953176,0.0380287170410156,19.234470528317612,-23.2641166683645,11.553386176528962,403,27,0.0,81935,347670363441043,14,21.4,-590.7296752929688,1.830999970436096,16,0.0,0.0,1176450000,,,,0,,1,,,,,,,,,1.277080470440953e+18,23237552.865500804,4.197094412,GPS_L5_Q,1.2770804703634412e+18,-14011238.182107797,4723916.132519708,21911392.561761383,53.60970952839647,148.96746642298763,-781.5246053565334,-2702.2885835842744,114.72764401863301,-98694.80189030364,-0.0029310912609619997,-2351.0605574218944,7.314075132186457,5.950126146749093,-2692782.888961565,-4297236.398702481,3855230.953569544,G,G27,2020-06-25 00:34:12.440000+00:00,0,347670.363441043
9,Raw,1593045252440,1047929361000000,18,,-1276032541079953176,0.0380287170410156,19.234470528317612,-23.2641166683645,11.553386176528962,403,29,0.0,16399,347670363767027,24,28.7,641.3614501953125,0.0228000003844499,29,695259.7092250835,0.1902936689331115,1575420000,,,,0,,1,,,,,,,,,1.277080470440953e+18,23139825.32087213,7.195018992000001,GPS_L1_CA,1.277080470363767e+18,-2899017.931363256,-26132837.99433359,-3677179.215245429,-14.622398654650883,-92.94894947652702,291.875041078477,409.96669559308754,-3186.0672299356224,-40624.24649976258,-0.0025902666957327448,0.0,4.552409866894397,5.635895358978835,-2692782.888961565,-4297236.398702481,3855230.953569544,G,G29,2020-06-25 00:34:12.440000+00:00,0,347670.36376702704
