,SvAzimuthDegrees1
0,314.7214874042848
1,268.6719688182274
2,45.84121979720654
3,133.23784327399852
4,313.5175413642613
5,75.28209824842928
6,40.92595447394481
7,222.26709425959766
8,158.45754715100077
9,187.89227162282316
10,314.7213677674072
11,268.662733449733
12,45.852378895064476
13,133.2416003711164
14,313.51651711284217
15,75.28811596848064
16,40.920790287020694
17,222.2614731463128
18,158.45406107183172
19,187.87428857535681
20,314.72126548407635
21,268.6534857700449
22,45.863516558982305
23,133.2452505093349
24,313.5155348848585
25,75.29404830636346
26,40.915575310522776
27,222.25575999386749
28,187.8551566941181
29,314.7210671938703
30,268.64411485409573
31,45.87485208699334
32,133.2490338673934
33,313.51440798671655
34,75.30014583416528
35,40.91044254190244
36,222.25004592562829
37,158.4469747850036
38,187.8366929039133
39,314.7210007230315
40,268.63497171508135
41,45.88587957799823
42,133.2527451895938
43,313.5134576696744
44,75.3060884400804
45,40.90524878221091
46,222.24447116444483
47,158.44344735898443
48,187.81851767106897
49,314.7208556382048
50,268.6256800367004
51,45.89709278395442
52,133.25646121782978
53,313.51240915024624
54,75.31209716067033
55,40.90007581971327
56,222.23877469307774
57,158.43990676054383
58,187.79964852369443
59,314.7207577994642
60,268.6164596448975
61,45.90819903672279
62,133.26012499245797
63,313.5114289382075
64,75.31803250453606
65,40.894869799462775
66,222.23309957766907
67,158.4363133952204
68,187.78053850271607
69,314.72062702492997
70,268.6072123386916
71,45.919363595807376
72,133.2638629633015
73,313.51039340915315
74,75.32404294700136
75,40.88970535549264
76,222.22745994791953
77,158.43280563479254
78,187.76196970220136
79,314.72048080641264
80,268.5979343629744
81,45.93056314431562
82,133.26759317190036
83,313.50934010609427
84,75.33006012948906
85,40.88454187789686
86,222.22178931769486
87,158.42928509804352
88,187.7431257441946
89,314.72034477855243
90,268.5886812340101
91,45.94173267058214
92,133.2713272278385
93,313.50829843258
94,75.3360710084628
95,40.87937879109785
96,222.21614385746642
97,158.42577282238528
98,187.72437511510455
99,314.72026572188133
100,268.57951385446256
101,45.952773928223266
102,133.27499959803433
103,313.5073389311874
104,75.34199446087347
105,40.87417626119065
106,222.2105246778734
107,187.70535464198338
108,314.7201036987252
109,268.5701914278515
110,45.964010301382515
111,133.2786806207503
112,313.5062750514631
113,75.34799004820677
114,40.86899721961933
115,222.2047815043136
116,158.41861454083778
117,187.68564426970846
118,314.7200010939032
119,268.5610494760291
120,45.975067313259906
121,133.28249298320839
122,313.5052588088437
123,75.35402391686564
124,40.86386455809422
125,222.1992941577727
126,158.41521156892958
127,187.66799932715793
128,314.71987021137664
129,268.5518183020618
130,45.986207268865066
131,133.28622576397464
132,313.5042229116837
133,75.36002737865117
134,40.85870360948378
135,222.1936706028021
136,158.41170238897337
137,187.64910070406964
138,314.719746305092
139,268.5426043883038
140,45.997325700654066
141,133.28995962301923
142,313.5031952169386
143,75.36602531947382
144,40.85354254426567
145,222.18806359046891
146,158.40819716431375
147,187.63023277519576
148,314.7196072614149
149,268.53335701465335
150,46.00848003349574
151,133.293678458231
152,313.5021515358027
153,75.37202493149715
154,40.8483791182443
155,222.18241762769935
156,158.40467011707236
157,187.61100166288685
158,314.7194786974233
159,268.52415272896343
160,46.01959487073059
161,133.29743892299615
162,313.50111249278916
163,75.37804302181223
164,40.84323293792439
165,222.17684144432923
166,158.40119888160362
167,187.59232221522723
168,314.7193665369296
169,268.51494634047594
170,46.03068416041472
171,313.5001089882728
172,75.38399469916753
173,40.8380484749992
174,222.171203117175
175,158.3976326295072
176,187.57278326445228
177,314.71919387509655
178,268.50561634081214
179,46.041920096686006
180,133.3047825122889
181,313.4990340838383
182,75.38998240611105
183,40.83287031787986
184,222.16544683562313
185,158.39402902690264
186,187.55242725845358
187,314.7190089948987
188,268.49628717355756
189,46.05317054826104
190,133.30849104124584
191,313.497934929706
192,75.39600970719816
193,40.82771640072493
194,222.15972782128415
195,158.39048098232692
196,187.53246938248955
197,314.71881274431814
198,268.4869312722403
199,46.06444798501574
200,133.31218318839586
201,313.49682469846493
202,75.40203470468178
203,40.82255865082455
204,222.15397459076868
205,158.38691036383332
206,187.51216141929274
207,314.7186799182678
208,268.47773140965796
209,46.07555288184297
210,133.31593732955366
211,313.4957805759475
212,75.40804900296156
213,40.81741541959685
214,222.14840257966569
215,158.3834343937331
216,187.49313388539002
217,314.7184473075192
218,268.46830547349066
219,46.08691231657234
220,133.3196179576698
221,313.4946272182083
222,75.41409440901737
223,40.812262556107655
224,222.14258330288982
225,187.4722598983344
226,314.7183587625997
227,268.45917835176664
228,46.09791108391344
229,133.3233298826964
230,313.49364563485784
231,75.42004390759962
232,40.80709246086339
233,222.1370424196754
234,158.37632555408754
235,187.45302189886448
236,314.71808360360296
237,268.4496572842868
238,46.10937385851653
239,133.32697137778854
240,313.49244687122683
241,75.42609640223364
242,40.80193348767798
243,222.1311145723642
244,158.3726750494207
245,187.43118390367923
246,314.7178988815896
247,268.44036772282385
248,46.12058754511946
249,133.33072306806534
250,313.4913382285374
251,75.43214838260931
252,40.79680459849258
253,222.12546899850014
254,158.36918659929768
255,187.41146517997132
256,314.71773089690873
257,268.4310797915197
258,46.131773151185506
259,133.3344025143357
260,313.4902641366641
261,75.43813847851914
262,40.791640589885795
263,222.11977007638538
264,158.36561214029504
265,187.3909618159539
266,314.7175195165204
267,268.4216990563295
268,46.14306499255204
269,133.33805794152693
270,313.48914085845615
271,75.4441469592463
272,40.786476465106716
273,222.11397515579893
274,187.36971873710306
275,314.7173200639541
276,268.4123807081269
277,46.15430589386855
278,133.34178935895338
279,313.48801731122614
280,75.45019549818387
281,40.781344657930816
282,222.10829282133253
283,187.34946949060097
284,314.7171460934947
285,268.4030864836593
286,46.16549481498519
287,133.34546030875362
288,313.48693683865446
289,75.45618291879077
290,40.7761810550912
291,222.10258526758457
292,187.32865432633338
293,314.7169520206602
294,268.39375404761984
295,46.17672905041202
296,133.34912665695157
297,313.4858321936598
298,75.46218282801104
299,40.77102082764155
300,222.09684293004113
301,158.35130441753637
302,187.30754806287146
303,314.7167545356127
304,268.38443160341706
305,46.18796054931497
306,133.35282141457833
307,313.4847175812829
308,75.46820365136261
309,40.765875038581974
310,222.09113207697553
311,158.34774624715575
312,187.28671093671105
313,314.71660920355174
314,268.3752363152782
315,46.19905061598552
316,133.3565634169772
317,313.4836580499248
318,75.47421323377331
319,40.760739762384524
320,222.08556625840714
321,158.34426132581683
322,187.26688270574473
323,314.71641444733166
324,268.365918610015
325,46.21027013037306
326,133.36024371194827
327,313.48254920672423
328,75.48022105577503
329,40.75558881014801
330,222.0798503864271
331,158.340687290305
332,187.24578823161332
333,314.7162577595766
334,268.35668228741895
335,46.221391240110094
336,133.36393274875243
337,313.48148553328684
338,75.48620348539126
339,40.750434270376964
340,222.0742110896376
341,158.33713444762535
342,187.22509579876302
343,314.7160689126338
344,268.3474150847398
345,46.23257183673274
346,133.36768161138372
347,313.4803702142874
348,75.49225070514817
349,40.74531463722285
350,222.06859298138684
351,187.20480660833596
352,314.715867634439
353,268.3380854181806
354,46.243798216361895
355,133.37134364044627
356,313.4792562277192
