,IonosphericDelayMeters1,IonosphericDelayMeters
0,2.994496623004263,2.990604813616609
1,4.260841987585046,4.233219440804311
2,3.1956199403746397,3.1899189308398777
3,4.308124569053789,4.307212014151982
4,2.3843032007283163,2.381497158702996
5,2.2629539950613236,2.260663679703304
6,2.4684881147384536,2.466359387463838
7,5.228306615534915,5.214193003788402
8,4.5502053069143855,4.552409866894397
9,8.857924054776822,8.823082605812399
10,2.994142114831789,2.990251548085689
11,4.260913553580949,4.2332827551283545
12,3.1957075444553715,3.190004533653952
13,4.3082631713213475,4.307349632982647
14,2.3843326572740513,2.381526192285181
15,2.2628901237493713,2.2605997988362403
16,2.46833196318444,2.466203220092897
17,5.228889268293275,5.21477031953404
18,4.550890619344476,4.553098067244688
19,8.856124257001255,8.821302206179496
20,2.9937887697025314,2.9899003870562524
21,4.260982259610747,4.233354545526742
22,3.1957928053638263,3.190095265514961
23,4.308404185271044,4.307493747156887
24,2.384360526160446,2.3815583973443646
25,2.2628254012368174,2.26053824464576
26,2.468175147059917,2.466050783728008
27,5.229476815397745,5.215350785283743
28,4.551575765725016,4.5537865688122094
29,8.854332077964447,8.81951697502021
30,2.9934370966429973,2.989548358970507
31,4.26106176755839,4.233421374694844
32,3.19588421852864,3.190182883314224
33,4.308551141014542,4.307634806613488
34,2.384392644181874,2.381588717684708
35,2.2627638540608688,2.260475402521825
36,2.4680230432133405,2.465896358729688
37,5.230064483967732,5.215930126344519
38,4.070729446503344,4.077097008491671
39,4.552259085539063,4.554474547715827
40,8.8525261776591,8.817734617137361
41,2.9930859311963536,2.9891964267228377
42,4.261146112271326,4.233488310955031
43,3.1959781075158706,3.1902704409006053
44,4.308700199200637,4.307776044264892
45,2.384426747606954,2.3816191011462906
46,2.262703887839386,2.2604126767613004
47,2.4678731833695524,2.4657421052026702
48,5.230650870820886,5.21650932880101
49,4.0702358582633975,4.07658807749998
50,4.552940182000678,4.555161935201507
51,8.850710490072773,8.815950999282592
52,2.9927316695313553,2.988844362986454
53,4.261219357164784,4.233558511199407
54,3.1960681366696293,3.190361271879844
55,4.308838780079797,4.307916999263951
56,2.384457202924819,2.3816511417625086
57,2.2626403899936753,2.26035073372658
58,2.467717370986279,2.4655886753707046
59,5.231233447141464,5.217087109842148
60,4.069728898385028,4.076080382447857
61,4.553628951143466,4.555852279572452
62,8.848914031712413,8.814167180896153
63,2.992379333395431,2.9884922407229677
64,4.261304909056624,4.233628488076526
65,3.1961661491994815,3.190452134964565
66,4.308983863807982,4.308057604642128
67,2.3844925605314704,2.3816831743469624
68,2.2625802362537755,2.260288760376682
69,2.467566487846277,2.4654351455267416
70,5.231817107706339,5.217664581775152
71,4.069232413811943,4.075572316033671
72,4.554318917418103,4.556542863533245
73,8.84710814465143,8.81238354626734
74,2.99202550865962,2.988139654399708
75,4.261362008967681,4.233693181533733
76,3.1962433931600693,3.190539913484028
77,4.309121495413524,4.308196021222664
78,2.384515711536238,2.381713084781805
79,2.262512669547504,2.2602252736082207
80,2.4674057934328664,2.4652794572247423
81,5.23240616959811,5.218242765317726
82,4.068717141403731,4.075059988014464
83,4.5550013386180925,4.557234251321469
84,8.845324424640898,8.81060701976557
85,2.9916717235230235,2.987786854511747
86,4.261447729569118,4.233759852697991
87,3.1963428119642003,3.1906293370565173
88,4.309262436466992,4.308333997053602
