MessageType,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,ArrivalTimeNanosSinceGpsEpoch,RawPseudorangeMeters,RawPseudorangeUncertaintyMeters,SignalType,ReceivedSvTimeNanosSinceGpsEpoch,SvPositionXEcefMeters,SvPositionYEcefMeters,SvPositionZEcefMeters,SvElevationDegrees,SvAzimuthDegrees,SvVelocityXEcefMetersPerSecond,SvVelocityYEcefMetersPerSecond,SvVelocityZEcefMetersPerSecond,SvClockBiasMeters,SvClockDriftMetersPerSecond,IsrbMeters,IonosphericDelayMeters,TroposphericDelayMeters,WlsPositionXEcefMeters,WlsPositionYEcefMeters,WlsPositionZEcefMeters,Constellation,SvName,ArrivalTimeNanosSinceGpsEpoch1,GpsWeekNum,ReceivedSvTimeNanosSinceGpsEpoch1,RawPseudorangeMeters1,RawPseudorangeUncertaintyMeters1,UnixTime,Epoch,SvPositionXEcefMeters1,SvPositionYEcefMeters1,SvPositionZEcefMeters1,SvVelocityXEcefMetersPerSecond1,SvVelocityYEcefMetersPerSecond1,SvVelocityZEcefMetersPerSecond1,SvClockBiasMeters1,SvClockDriftMetersPerSecond1
Raw,1593045252440,1047929361000000,18,,-1276032541079953176,0.038,19.234470528317612,-23.2641166683645,11.553386176528962,403,10,0.0,16399,347670368542152,7,40.2,-381.5530395507813,0.0164000000804662,25,-61860.176744840646,0.0010085564157135,1575420000,,,,0,,1,,,,,,,,,1.277080470440953e+18,21708278.859864883,2.098547206,GPS_L1_CA,1.2770804703685422e+18,-22402643.91557475,-11771534.07430745,8541120.53192816,48.562396594283456,242.99556652748436,1087.1765427673502,45.24974272996934,2921.00772663406,-114240.99117141456,-0.0027470847708173,0.0,2.990604813616609,3.330762970094968,-2692782.888961565,-4297236.398702481,3855230.953569544,G,G10,1277080470440953175.962,2111,1277080470368542152,21708278.859864878596,2.098547206,2020-06-25 00:34:12.440000+00:00,0,-22402644.585159868,-11771533.883185215,8541119.035578035,1087.1194943690166,45.29614850091387,2920.9224450891406,-114233.03417283113,-0.003305998282713581
Raw,1593045252440,1047929361000000,18,,-1276032541079953176,0.038,19.234470528317612,-23.2641166683645,11.553386176528962,403,13,0.0,16399,347670360573483,35,25.5,410.6156921386719,0.7714999914169312,16,0.0,0.0,1575420000,,,,0,,1,,,,,,,,,1.277080470440953e+18,24097225.726363283,10.49273603,GPS_L1_CA,1.2770804703605734e+18,13603249.8762636,-8033462.849667848,21217893.31837916,14.893309613528729,42.68608428052674,457.9769942983866,2683.408374945895,727.8946563065807,6344.271475548872,0.0005510290138772,0.0,4.233219440804311,9.598289325279117,-2692782.888961565,-4297236.398702481,3855230.953569544,G,G13,1277080470440953175.962,2111,1277080470360573483,24097225.726363280596,10.492736030,2020-06-25 00:34:12.440000+00:00,0,13603249.754158264,-8033463.256929664,21217893.241886068,457.9436321290381,2683.290870291821,727.8714359412248,6339.733905694403,0.0009543087826401152
Raw,1593045252440,1047929361000000,18,,-1276032541079953176,0.038,19.234470528317612,-23.2641166683645,11.553386176528962,403,15,0.0,16399,347670367737558,8,39.4,260.4838256835937,0.0151000004261732,25,56417.98488356372,0.0011607913580907,1575420000,,,,0,,1,,,,,,,,,1.277080470440953e+18,21949490.07281693,2.3983396640000003,GPS_L1_CA,1.2770804703677376e+18,7424443.8590177875,-17658217.27168517,17926102.229495212,37.35163566120277,64.24789212184261,1089.489174186204,2112.2814086199623,1639.0295534206352,-66543.90871734962,-0.0004581873072311,0.0,3.1899189308398777,4.111997274080895,-2692782.888961565,-4297236.398702481,3855230.953569544,G,G15,1277080470440953175.962,2111,1277080470367737558,21949490.072816930596,2.398339664,2020-06-25 00:34:12.440000+00:00,0,7424439.564917638,-17658222.264006566,17926099.07184121,1089.3991443507791,2112.180612616805,1638.9683079890037,-66547.59196523673,0.0007838965000254878
Raw,1593045252440,1047929361000000,18,,-1276032541079953176,0.038,19.234470528317612,-23.2641166683645,11.553386176528962,403,16,0.0,16399,347670363511034,9,38.6,135.8373260498047,0.0096000004559755,25,41532.163369538604,0.0013320557236479,1575420000,,,,0,,1,,,,,,,,,1.277080470440953e+18,23216570.091572925,2.6981321220000005,GPS_L1_CA,1.277080470363511e+18,-22797814.88044911,1698395.683788963,13674570.44000345,26.70802165677752,282.2688058038436,-1601.1419966254011,-728.6642788915092,-2495.3887495088197,-52349.70549089388,-0.0011074119975091,0.0,4.307212014151982,5.539522123999427,-2692782.888961565,-4297236.398702481,3855230.953569544,G,G16,1277080470440953175.962,2111,1277080470363511034,23216570.091572922596,2.698132122,2020-06-25 00:34:12.440000+00:00,0,-22797813.51517646,1698397.3160377648,13674572.446255691,-1601.0975664979717,-728.6024516590976,-2495.3239022571693,-52342.416716128406,-0.001397380717436348
Raw,1593045252440,1047929361000000,18,,-1276032541079953176,0.038,19.234470528317612,-23.2641166683645,11.553386176528962,403,18,0.0,16399,347670371934131,9,39.0,123.4292984008789,0.0366000011563301,25,173620.30204083255,0.0013320557236479,1575420000,,,,0,,1,,,,,,,,,1.277080470440953e+18,20691389.1379705,2.6981321220000005,GPS_L1_CA,1.2770804703719342e+18,-2062221.419498408,-17343704.617909923,19991412.78012586,61.9423490052016,49.832994879482186,1897.7665973914472,-1692.724424379887,-1274.4858063386616,68762.68606216279,0.0030138757429085,0.0,2.381497158702996,2.830937513847072,-2692782.888961565,-4297236.398702481,3855230.953569544,G,G18,1277080470440953175.962,2111,1277080470371934131,20691389.137970496596,2.698132122,2020-06-25 00:34:12.440000+00:00,0,-2062220.9820306161,-17343705.007410247,19991412.48695824,1897.6636404369206,-1692.6644515490566,-1274.4444343187074,68753.71829266069,0.003067421087069291
Raw,1593045252440,1047929361000000,18,,-1276032541079953176,0.038,19.234470528317612,-23.2641166683645,11.553386176528962,403,20,0.0,16399,347670373704244,6,43.1,-58.12386322021485,0.0383000001311302,25,-444370.3037544828,0.0008372921387687,1575420000,,,,0,,1,,,,,,,,,1.277080470440953e+18,20160722.610762745,1.7987547480000003,GPS_L1_CA,1.2770804703737042e+18,-13622359.363320883,-14625530.78170946,17519999.832486033,77.85042385305384,297.9604454497796,2247.992495383151,64.73765381541017,1771.4726329988284,158129.25817584596,3.6174285924e-05,0.0,2.260663679703304,2.556258301106831,-2692782.888961565,-4297236.398702481,3855230.953569544,G,G20,1277080470440953175.962,2111,1277080470373704244,20160722.610762742596,1.798754748,2020-06-25 00:34:12.440000+00:00,0,-13622358.120463597,-14625530.763583288,17520000.797328725,2247.877424023981,64.76988143335102,1771.4108656961232,158123.12382292698,-3.4082456522925504e-05
Raw,1593045252440,1047929361000000,18,,-1276032541079953176,0.038,19.234470528317612,-23.2641166683645,11.553386176528962,403,21,0.0,16399,347670369207197,7,41.0,-207.6154327392578,0.0329000018537044,25,-296854.2837950682,0.0010085564157135,1575420000,,,,0,,1,,,,,,,,,1.277080470440953e+18,21508903.38463427,2.098547206,GPS_L1_CA,1.2770804703692073e+18,-13218849.800487705,-8676777.437464619,22099598.142849475,59.171851555231214,323.2660321844454,1684.8090066669952,-2019.9251566038563,251.03973393158697,4721.657668150256,0.0036027236847075,0.0,2.466359387463838,2.9090756752817755,-2692782.888961565,-4297236.398702481,3855230.953569544,G,G21,1277080470440953175.962,2111,1277080470369207197,21508903.384634268596,2.098547206,2020-06-25 00:34:12.440000+00:00,0,-13218914.135902371,-8676694.601588208,22099591.174942616,1684.7296708162585,-2019.824713840791,251.04345967168751,4721.051708171751,0.001397380717436348
Raw,1593045252440,1047929361000000,18,,-1276032541079953176,0.038,19.234470528317612,-23.2641166683645,11.553386176528962,403,26,0.0,16399,347670362294949,8,39.2,428.2132873535156,0.0076000001281499,25,63961.81201747834,0.0011607913580907,1575420000,,,,0,,1,,,,,,,,,1.277080470440953e+18,23581143.202859856,2.3983396640000003,GPS_L1_CA,1.277080470362295e+18,-26239965.91273089,-4534478.00243976,1659540.531275927,21.72499692094761,244.48163341457484,-143.18041046733276,-345.60851393140376,-3120.003813138549,69414.57328720971,0.0025308047625003,0.0,5.214193003788402,6.711868305676855,-2692782.888961565,-4297236.398702481,3855230.953569544,G,G26,1277080470440953175.962,2111,1277080470362294949,23581143.202859852596,2.398339664,2020-06-25 00:34:12.440000+00:00,0,-26239965.983538847,-4534477.6292548645,1659540.4347647827,-143.18629803304987,-345.53749943334515,-3119.905751422084,69413.33652306195,0.00207902984789186
Raw,1593045252440,1047929361000000,18,,-1276032541079953176,0.038,19.234470528317612,-23.2641166683645,11.553386176528962,403,29,0.0,16399,347670363767027,24,28.7,641.3614501953125,0.0228000003844499,29,695259.7092250835,0.1902936689331115,1575420000,,,,0,,1,,,,,,,,,1.277080470440953e+18,23139825.32087213,7.195018992000001,GPS_L1_CA,1.277080470363767e+18,-2899017.888186499,-26132837.938493576,-3677179.652243296,26.21120513287597,146.56143093371637,291.93390024247213,409.97206314330174,-3186.1525270600264,-40627.7178423777,-0.0026300855315639,0.0,4.552409866894397,5.635895358978835,-2692782.888961565,-4297236.398702481,3855230.953569544,G,G29,1277080470440953175.962,2111,1277080470363767027,23139825.320872128596,7.195018992,2020-06-25 00:34:12.440000+00:00,0,-2899017.931363256,-26132837.99433359,-3677179.215245429,291.875041078477,409.96669559308754,-3186.0672299356224,-40624.24649976258,-0.0025902666957327448
Raw,1593045252440,1047929361000000,18,,-1276032541079953176,0.038,19.234470528317612,-23.2641166683645,11.553386176528962,403,32,0.0,16399,347670356435173,21,29.5,-692.4752197265625,0.0507000014185905,29,-332741.0464640521,0.0054423989019967,1575420000,,,,0,,1,,,,,,,,,1.277080470440953e+18,25337859.853229266,6.295641618000001,GPS_L1_CA,1.2770804703564352e+18,-15504229.312971331,-15435968.82182733,-15077737.966085317,3.1350790646871998,191.22216221597552,-334.1362568661442,-1906.797442914621,2268.0818402854343,91724.62722982909,0.0020468074799282,0.0,8.823082605812399,36.08127767686372,-2692782.888961565,-4297236.398702481,3855230.953569544,G,G32,1277080470440953175.962,2111,1277080470356435173,25337859.853229260596,6.295641618,2020-06-25 00:34:12.440000+00:00,0,-15504229.41798918,-15435969.394643381,-15077737.28000434,-334.16201831570817,-1906.6985393797622,2268.0081532110053,91723.370102603,0.0020108649348472086
